IdCFC;Situacao;Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Numero;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador
0003580045;Bloqueado;0;********;Auto Escola Lideranca Ltda;06120394000106;Av Andrade Neves;150;Centro;Campinas;(019) 3304-8404;Pratico;Nao;Nao;Nao
0001120493;Baixada;0;3 Irmaos;Cfc B Auto Moto Escola 3 Irmaos Ltda Me;00000000000000;Rua Votorantim;277;Barcelona;Sao Caetano Do Sul;(011) 4229-1905;Pratico;Nao;Nao;Sim
0000191935;Bloqueado;0;500 Milhas;Centro De Formacao De Condutores 500milhas Ltda Me;07936100000254;Av Dr Jose Benetti;218;Centro;Piacatu;(018) 3693-1413;Teorico e prático;Nao;Nao;Nao
0008291935;Baixada;0;500 Milhas;Centro De Formacao De Condutores;00000000000000;Av Dr Jose Benetti;218;Centro;Piacatu;(018) 3693-1413;Teorico e prático;Nao;Sim;Sim
0000550661;Bloqueado;0;9 De Julho;Cfc 9 De Julho Ltda Me;02242144000180;Av Sao Geronimo;1140;Sao Domingos;Americana;(011) 3627-7000;Pratico;Nao;Nao;Nao
0000131452;Bloqueado;0;A De Maracai E Regiao S/c Ltda;A De Maracai E Regiao S/c Ltda;04992092000194;Rua Marcilio L Da Rosa;474;Centro;Maracai;(018) 3371-4066;Teorico;Nao;Nao;Sim
0000820213;Bloqueado;0;A Detran;Cfc Uniao Ltda Me;14739586000115;Rua Cel Queiroz;542;Centro;Itapeva;(015) 3524-1010;Teorico;Nao;Nao;Nao
0001360661;Bloqueado;0;A E Aguia;C F C Arnolfo De Azevedo Ltda Me;00000000000000;Av Sao Jeronimo;1140;Sao Domingos Ii;Americana;(000) 0;Pratico;Nao;Nao;Sim
0002440535;Bloqueado;0;A E Alphaville;Centro De Formacao De Condutores Wm Ltda Me;07217154000189;R Carlos Nunes De Paula;1662;Jd Imperial;Sao Jose Dos Campos;(011) 3627-7000;Pratico;Nao;Nao;Nao
0000640227;Baixada;0;A E Antonelli;Sandra Regina Antonelli Me;00000000000000;Rua Mal Deodoro Da Fonseca;2291;Centro;Bernardino De Campos;(014) 3346-1102;Pratico;Nao;Nao;Sim
0000790976;Bloqueado;0;A E Atibaia Filial;Silva E Souza Auto Escola Ltda Me;21822626000234;Avenida Dona Gertrudes;1138;Alvinopolis;Atibaia;(011) 3402-1318;Pratico;Nao;Nao;Sim
0000280164;Baixada;50;A E Avenida;Auto Escola Avenida S/c Ltda;00000000000000;Rua Vigario Jj Rodrigues;836;Centro;Jundiai;(011) 4526-9390;Pratico;Nao;Nao;Sim
0011110122;Bloqueado;0;A E Bela Vista;Koshin Ushizaki;00000000000000;Av Angelo Gristianini;85;J Miriam;Sao Paulo;(011) 5622-5966;Pratico;Nao;Nao;Sim
0007150122;Bloqueado;0;A E Benedito Pereira;Benedito Pereira;00000000000000;Av Sapopemba;2792;Santa Clara;Sao Paulo;(011) 6965-7382;Pratico;Nao;Nao;Sim
0011200122;Bloqueado;0;A E Beneton;Renato Beneton;00000000000000;R Dom Vilares;1079;V Merces;Sao Luiz Do Paraitinga;(011) 6948-1050;Pratico;Nao;Nao;Sim
0003040045;Bloqueado;0;A E Cacula Ii;Caculinha Do Campo Grande Cfc Ltda Me;07010892000150;R Manoel Machado Pereira;192;P Valenca I;Campinas;(011) 3627-7000;Pratico;Nao;Nao;Nao
0000250731;Bloqueado;0;A E Caliman S/c Ltda;Centro De Formacao De Condutores Caliman S/c Ltda;03913620000100;R Fabiano A De Freitas;26;Centro;Ituverava;(016) 3839-2199;Teorico;Nao;Nao;Nao
0000160143;Bloqueado;0;A E Campos;A E Campos Ltda Me;02370612000100;Voluntario Arnaldo De Vilhena;640;Vl Nova;Franca;(016) 3721-4846;Pratico;Nao;Nao;Nao
0000670535;Bloqueado;0;A E Canaa;Miria Cristina Nunes Me;05480771000147;Rua Antonio Saes;78;Centro;Sao Jose Dos Campos;(012) 3308-5772;Pratico;Nao;Nao;Nao
0008410122;Bloqueado;0;A E Capao Redondo;Auto Escola Samaro Sc Ltda;66513359000170;R Henrique San Mindlin;626;Caapao Redondo;Sao Paulo;(011) 5873-8233;Pratico;Nao;Nao;Nao
0000160164;Baixada;85;A E Carlos Gomes;Manoel Fernandes Filho & Cia Ltda Me;00000000000000;Av Sao Paulo;515;Pte S Joao;Jundiai;(011) 4587-0761;Pratico;Nao;Nao;Sim
0000040444;Bloqueado;0;A E Casagrande;Margareth Barros Franco Goulart & Cia Lta;51905131000159;Praca Floriano Peixoto;47;Centro;Mogi Mirim;(019) 3806-2755;Pratico;Nao;Nao;Nao
0001030661;Bloqueado;0;A E Castelo Ii;Edson Muterle Me;06928240000137;Rua Joao Bernestein;148;Vl Lourdes;Americana;(011) 3627-7000;Pratico;Nao;Nao;Nao
