IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0037960122;Credenciado;0;A Capelinha;Centro De Formacao De Condutores A Capelinha Ltda;13264953000109;Estr De Itapecerica;2976;Jd Heloisa;Sao Paulo;(011) 5842-8484;Teorico;Nao;Sim;Sim;4.5;4.5;4.0;4.5;4.5;4.1;4.6;72;4.4
0013480122;Credenciado;62;A E Aeroporto;Auto Escola Aeroporto Ltda Me;54225636000160;R Vieira De Moraes;1458;Campo Belo;Sao Paulo;(011) 5044-5714;Pratico;Sim;Nao;Sim;5.0;4.8;4.6;5.0;5.0;4.6;4.8;5;4.8
0001001088;Credenciado;67;A E Alternativa;Auto Escola Azevedo Sodario Ltda-me;15264150000180;Rua Rui Barbosa;160;Centro;Jacarei;(012) 3953-4572;Teorico e pratico;Nao;Nao;Sim;4.5;4.0;3.0;4.0;4.0;4.0;4.0;2;4.0
0000042229;Credenciado;54;A E Aracoiaba;Centro De Formacao De Condutores B Aracoiaba Ltda;03036846000170;Av Manoel Vieira;488;Centro;Aracoiaba Da Serra;(015) 3281-1310;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000040143;Credenciado;58;A E Atual;Auto Escola Atual Sc Ltda;02388075000117;Rua Vol Adriano Cintra;361;Stos Dumont;Franca;(016) 3721-3131;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000070143;Credenciado;78;A E Bandeirantes;Auto Escola Bandeirantes Sc Ltda;02370610000102;Av Major Nicacio;1498;Centro;Franca;(016) 7240-800;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;4.8;4.8;5;4.9
0004270241;Credenciado;55;A E Boa Vista 4;Centro De Formacao De Condutores Boa Vista Ltda Me;05159990000471;Rua Jose Maria Do Carmo;31;Morada Acacias;Limeira;(019) 3451-4327;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0003580241;Credenciado;59;A E Boa Vista Iii;Centro De Formacao De Condutores Boa Vista Ltda-me;05159990000390;Av Doutor Antonio De Luna;789;Pq Res Aeroport;Limeira;(011) 3627-7000;Pratico;Nao;Sim;Sim;5.0;4.0;5.0;5.0;1.0;4.0;4.0;2;4.0
0000521151;Credenciado;70;A E Boqueirao;Auto Moto Escola Boqueirao Ltda;05286417000186;Av Pres Costa E Silva;1061;Boqueirao;Praia Grande;(013) 3473-8522;Pratico;Nao;Nao;Nao;4.9;4.7;4.6;4.8;4.6;4.3;4.9;21;4.7
0000130164;Credenciado;61;A E Central;Centro De Formacao De Condutores B Central Ltda;54132519000152;R Vigario Joao Jose Rodrigues;734;Centro;Jundiai;(011) 4526-2181;Pratico;Nao;Nao;Nao;4.9;4.3;4.7;4.4;4.1;4.4;4.7;9;4.5
0000131641;Credenciado;76;A E Chiquinho;Centro Formacao De Condutores Reis & Silva Ltda;03722073000185;R Coronel Antonio Jacinto;1550;Centro;Patrocinio Paulista;(016) 3145-1105;Teorico e pratico;Nao;Sim;Nao;4.3;4.3;4.3;3.7;4.3;4.0;4.7;3;4.2
