IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0003580045;Bloqueado;0;********;Auto Escola Lideranca Ltda;06120394000106;Av Andrade Neves;150;Centro;Campinas;(019) 3304-8404;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0001120493;Baixada;0;3 Irmaos;Cfc B Auto Moto Escola 3 Irmaos Ltda Me;00000000000000;Rua Votorantim;277;Barcelona;Sao Caetano Do Sul;(011) 4229-1905;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000191935;Bloqueado;0;500 Milhas;Centro De Formacao De Condutores 500milhas Ltda Me;07936100000254;Av Dr Jose Benetti;218;Centro;Piacatu;(018) 3693-1413;Teorico e pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0008291935;Baixada;0;500 Milhas;Centro De Formacao De Condutores;00000000000000;Av Dr Jose Benetti;218;Centro;Piacatu;(018) 3693-1413;Teorico e pratico;Nao;Sim;Sim;--;--;--;--;--;--;--;0;--
0000550661;Bloqueado;0;9 De Julho;Cfc 9 De Julho Ltda Me;02242144000180;Av Sao Geronimo;1140;Sao Domingos;Americana;(011) 3627-7000;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0037960122;Credenciado;0;A Capelinha;Centro De Formacao De Condutores A Capelinha Ltda;13264953000109;Estr De Itapecerica;2976;Jd Heloisa;Sao Paulo;(011) 5842-8484;Teorico;Nao;Sim;Sim;4.5;4.5;4.0;4.5;4.5;4.1;4.6;72;4.4
0000131452;Bloqueado;0;A De Maracai E Regiao S/c Ltda;A De Maracai E Regiao S/c Ltda;04992092000194;Rua Marcilio L Da Rosa;474;Centro;Maracai;(018) 3371-4066;Teorico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000820213;Bloqueado;0;A Detran;Cfc Uniao Ltda Me;14739586000115;Rua Cel Queiroz;542;Centro;Itapeva;(015) 3524-1010;Teorico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0013480122;Credenciado;62;A E Aeroporto;Auto Escola Aeroporto Ltda Me;54225636000160;R Vieira De Moraes;1458;Campo Belo;Sao Paulo;(011) 5044-5714;Pratico;Sim;Nao;Sim;5.0;4.8;4.6;5.0;5.0;4.6;4.8;5;4.8
0001360661;Bloqueado;0;A E Aguia;C F C Arnolfo De Azevedo Ltda Me;00000000000000;Av Sao Jeronimo;1140;Sao Domingos Ii;Americana;(000) 0;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0002440535;Bloqueado;0;A E Alphaville;Centro De Formacao De Condutores Wm Ltda Me;07217154000189;R Carlos Nunes De Paula;1662;Jd Imperial;Sao Jose Dos Campos;(011) 3627-7000;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0001001088;Credenciado;67;A E Alternativa;Auto Escola Azevedo Sodario Ltda-me;15264150000180;Rua Rui Barbosa;160;Centro;Jacarei;(012) 3953-4572;Teorico e pratico;Nao;Nao;Sim;4.5;4.0;3.0;4.0;4.0;4.0;4.0;2;4.0
0000640227;Baixada;0;A E Antonelli;Sandra Regina Antonelli Me;00000000000000;Rua Mal Deodoro Da Fonseca;2291;Centro;Bernardino De Campos;(014) 3346-1102;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000042229;Credenciado;54;A E Aracoiaba;Centro De Formacao De Condutores B Aracoiaba Ltda;03036846000170;Av Manoel Vieira;488;Centro;Aracoiaba Da Serra;(015) 3281-1310;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000790976;Bloqueado;0;A E Atibaia Filial;Silva E Souza Auto Escola Ltda Me;21822626000234;Avenida Dona Gertrudes;1138;Alvinopolis;Atibaia;(011) 3402-1318;Pratico;Nao;Nao;Sim;4.0;3.0;3.0;4.0;3.0;4.0;4.0;1;3.6
0000040143;Credenciado;58;A E Atual;Auto Escola Atual Sc Ltda;02388075000117;Rua Vol Adriano Cintra;361;Stos Dumont;Franca;(016) 3721-3131;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000280164;Baixada;50;A E Avenida;Auto Escola Avenida S/c Ltda;00000000000000;Rua Vigario Jj Rodrigues;836;Centro;Jundiai;(011) 4526-9390;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000070143;Credenciado;78;A E Bandeirantes;Auto Escola Bandeirantes Sc Ltda;02370610000102;Av Major Nicacio;1498;Centro;Franca;(016) 7240-800;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;4.8;4.8;5;4.9
0011110122;Bloqueado;0;A E Bela Vista;Koshin Ushizaki;00000000000000;Av Angelo Gristianini;85;J Miriam;Sao Paulo;(011) 5622-5966;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0007150122;Bloqueado;0;A E Benedito Pereira;Benedito Pereira;00000000000000;Av Sapopemba;2792;Santa Clara;Sao Paulo;(011) 6965-7382;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0011200122;Bloqueado;0;A E Beneton;Renato Beneton;00000000000000;R Dom Vilares;1079;V Merces;Sao Luiz Do Paraitinga;(011) 6948-1050;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0004270241;Credenciado;55;A E Boa Vista 4;Centro De Formacao De Condutores Boa Vista Ltda Me;05159990000471;Rua Jose Maria Do Carmo;31;Morada Acacias;Limeira;(019) 3451-4327;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0003580241;Credenciado;59;A E Boa Vista Iii;Centro De Formacao De Condutores Boa Vista Ltda-me;05159990000390;Av Doutor Antonio De Luna;789;Pq Res Aeroport;Limeira;(011) 3627-7000;Pratico;Nao;Sim;Sim;5.0;4.0;5.0;5.0;1.0;4.0;4.0;2;4.0
0000521151;Credenciado;70;A E Boqueirao;Auto Moto Escola Boqueirao Ltda;05286417000186;Av Pres Costa E Silva;1061;Boqueirao;Praia Grande;(013) 3473-8522;Pratico;Nao;Nao;Nao;4.9;4.7;4.6;4.8;4.6;4.3;4.9;21;4.7
0003040045;Bloqueado;0;A E Cacula Ii;Caculinha Do Campo Grande Cfc Ltda Me;07010892000150;R Manoel Machado Pereira;192;P Valenca I;Campinas;(011) 3627-7000;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
