IdCFC;NúmeroSala;Capacidade
0036580122;1;1
0003400122;1;10
0007780122;1;10
0009400122;1;10
0012910122;1;10
0013390122;1;10
0014080122;1;10
0014500122;1;10
0015520122;1;10
0016810122;1;10
0019390122;1;10
0019750122;1;10
0021220122;1;10
0021580122;1;10
0021700122;1;10
0022000122;1;10
0027160122;1;10
0028510122;1;10
0028600122;1;10
0028630122;1;10
0029290122;1;10
0000161641;1;12
0000100703;1;15
0026830703;1;15
0000370710;1;15
0000700710;1;15
0000880710;1;15
0000970850;1;15
0002140864;1;15
0000100871;1;15
0000520899;1;15
0000760913;1;15
0000130934;1;15
0000521046;1;15
0000041067;1;15
0000041074;1;15
0000941074;1;15
0000071081;1;15
0001061088;1;15
0000341130;1;15
0000401151;1;15
0000071186;1;15
0000161186;1;15
0000221186;1;15
0000251235;1;15
0000341277;1;15
0000131298;1;15
0000131445;1;15
0108701466;1;15
0000971515;1;15
0051071515;1;15
0051191515;1;15
0000161529;1;15
0000071543;1;15
0000281564;1;15
0001631662;1;15
0001241690;1;15
0001601753;1;15
0000311767;1;15
0001151774;1;15
0000131928;1;15
0000191935;1;15
0000191970;1;15
0000881970;1;15
0001662033;1;15
0000252082;1;15
0000762082;1;15
0000162187;1;15
0000012243;1;15
0000042306;1;15
0005892306;1;15
0000222313;1;15
0000310003;1;15
0000970003;1;15
0000280024;1;15
0000610031;1;15
0001030031;1;15
0001060031;1;15
0001240031;1;15
0001360031;1;15
0003340045;1;15
0003370045;1;15
0003520045;1;15
0003790045;1;15
0003820045;1;15
0004450045;1;15
0000700066;1;15
0001300073;1;15
0000070087;1;15
0001900087;1;15
0000700108;1;15
0000910108;1;15
0010360122;1;15
0020290122;1;15
0023320122;1;15
0024220122;1;15
0038920122;1;15
0039190122;1;15
0039610122;1;15
0042280122;1;15
0042670122;1;15
0000460136;1;15
0001030136;1;15
0001720136;1;15
0001840136;1;15
0003880157;1;15
0000910164;1;15
0001210164;1;15
0001360164;1;15
0000940171;1;15
0000280192;1;15
0000070213;1;15
0000640234;1;15
0000910276;1;15
0000130297;1;15
0000160325;1;15
0000100346;1;15
0000190367;1;15
0000400367;1;15
0000280374;1;15
0000520381;1;15
0000640416;1;15
0000400423;1;15
0000460423;1;15
0000520444;1;15
0000070465;1;15
0000100465;1;15
0000250465;1;15
0000220500;1;15
0002500535;1;15
0003580535;1;15
0000250584;1;15
0000220591;1;15
0000250640;1;15
0001540661;1;15
0000280682;1;15
0004150045;1;16
0000280080;1;16
0001690101;1;16
0002170101;1;16
0000220115;1;16
0002140115;1;16
0000550122;1;16
0003250122;1;16
0004060122;1;16
0026560122;1;16
0030700122;1;16
0036730122;1;16
0039280122;1;16
0040600122;1;16
0040810122;1;16
0042430122;1;16
0001750129;1;16
0003610157;1;16
0000160276;1;16
0000520346;1;16
0002470535;1;16
0003100535;1;16
0000040584;1;16
0000400626;1;16
0000160640;1;16
0001120661;1;16
0000130682;1;16
0000250794;1;16
0001150850;1;16
0002110864;1;16
0000070899;1;16
0001090920;1;16
0000791018;1;16
0005831018;1;16
0009491018;1;16
0000221032;1;16
0002831081;1;16
0006011116;1;16
0000191557;1;16
0000551557;1;16
0000071564;1;16
0001181662;1;16
0000401676;1;16
0000041739;1;16
0000671760;1;16
0000281844;1;16
0000041879;1;16
0000221970;1;16
0000492047;1;16
0000522166;1;16
0000970024;1;17
0002050115;1;17
0030490122;1;17
0040150122;1;17
0042190122;1;17
0042220122;1;17
0001900129;1;17
0001930143;1;17
0000910171;1;17
0001780206;1;17
0000400248;1;17
0000250304;1;17
0000340304;1;17
0000340374;1;17
0000340535;1;17
0000550535;1;17
0002890535;1;17
0003430535;1;17
0000100668;1;17
0000040780;1;17
0001000864;1;17
0000160892;1;17
0001150920;1;17
0000340934;1;17
0000191081;1;17
0002771081;1;17
0002801081;1;17
0000161088;1;17
0001211088;1;17
0000791151;1;17
0000971151;1;17
0001091151;1;17
0000311263;1;17
0000161291;1;17
0000131627;1;17
0000971676;1;17
0000971718;1;17
0000821760;1;17
0000911767;1;17
0001211774;1;17
0000221802;1;17
0000221998;1;17
0000251998;1;17
0000192026;1;17
0000522033;1;17
0000462047;1;17
0000072124;1;17
0000012299;1;17
0002050101;1;18
0000220108;1;18
0000880108;1;18
0028210122;1;18
0040300122;1;18
0042010122;1;18
0000670150;1;18
0000100164;1;18
0000550206;1;18
0000760213;1;18
0000070332;1;18
0001390507;1;18
0000190619;1;18
0000190661;1;18
0000520661;1;18
0000100689;1;18
0014290703;1;18
0000040794;1;18
0000550899;1;18
0000580899;1;18
0000040934;1;18
0000101032;1;18
0000881074;1;18
0002861081;1;18
0000101207;1;18
0000101277;1;18
0000371277;1;18
0000131347;1;18
0000281368;1;18
0051041515;1;18
0051161515;1;18
0001091774;1;18
0001301774;1;18
0000701795;1;18
0000131844;1;18
0000011900;1;18
0000161900;1;18
0000041970;1;18
0000041977;1;18
0000012068;1;18
0000132152;1;18
0000222208;1;18
0001032278;1;18
0001510003;1;19
0004030045;1;19
0004180045;1;19
0004480101;1;19
0003070122;1;19
0007390122;1;19
0040060122;1;19
0040690122;1;19
0040960122;1;19
0041620122;1;19
0042070122;1;19
0042550122;1;19
0001450164;1;19
0000880276;1;19
0000040388;1;19
0000820437;1;19
0000280584;1;19
0000160682;1;19
0000550731;1;19
0000400766;1;19
0000310843;1;19
0000400850;1;19
0001000850;1;19
0001180850;1;19
0000190899;1;19
0000010941;1;19
0000220941;1;19
0001000976;1;19
0000101102;1;19
0000551151;1;19
0000041186;1;19
0000041228;1;19
0000071354;1;19
0000311368;1;19
0000311410;1;19
0000101431;1;19
0000041816;1;19
0000191823;1;19
0000191865;1;19
0000221893;1;19
0000221935;1;19
0000191928;1;20
0000101935;1;20
0000131935;1;20
0000161935;1;20
0000011942;1;20
0000011949;1;20
0000131963;1;20
0000012012;1;20
0000222026;1;20
0000252026;1;20
0000312026;1;20
0000042040;1;20
0000132047;1;20
0000012075;1;20
0000102103;1;20
0000072110;1;20
0000102124;1;20
0000222131;1;20
0000372131;1;20
0000462166;1;20
0000072187;1;20
0000132229;1;20
0000102243;1;20
0000012257;1;20
0000042299;1;20
0006492299;1;20
0011232306;1;20
0000012334;1;20
0000251340;1;20
0000251347;1;20
0000101354;1;20
0000101361;1;20
0000131361;1;20
0000161361;1;20
0000191361;1;20
0000011368;1;20
0000251368;1;20
0000341368;1;20
0000011389;1;20
0000281389;1;20
0000461389;1;20
0000251410;1;20
0000281410;1;20
0000161459;1;20
0000101494;1;20
0000131494;1;20
0000221494;1;20
0000251494;1;20
0041981515;1;20
0000041522;1;20
0000041550;1;20
0000491557;1;20
0000041571;1;20
0000041578;1;20
0000011592;1;20
0000071592;1;20
0000041620;1;20
0000101634;1;20
0000281641;1;20
0000341641;1;20
0000521669;1;20
0000911669;1;20
0000011676;1;20
0000551676;1;20
0000011683;1;20
0000101683;1;20
0000221683;1;20
0000281690;1;20
0002291690;1;20
0000341711;1;20
0000821718;1;20
0000221725;1;20
0000881753;1;20
0001151753;1;20
0001301753;1;20
0000221760;1;20
0000461774;1;20
0002981781;1;20
0012221781;1;20
0015221781;1;20
0000221788;1;20
0000041809;1;20
0000161816;1;20
0009971830;1;20
0000131900;1;20
0000191900;1;20
0000761907;1;20
0000791907;1;20
0000011914;1;20
0000101914;1;20
0000191921;1;20
0000041928;1;20
0000130738;1;20
0000190738;1;20
0000220738;1;20
0000250738;1;20
0000520766;1;20
0001120766;1;20
0000280794;1;20
0000250801;1;20
0000070822;1;20
0000010829;1;20
0000220829;1;20
0000280829;1;20
0000100836;1;20
0000130836;1;20
0001090850;1;20
0000370857;1;20
0000010885;1;20
0000220892;1;20
0000220899;1;20
0000520920;1;20
0000160941;1;20
0000100955;1;20
0000130955;1;20
0000820976;1;20
0000880976;1;20
0000280983;1;20
0000070990;1;20
0000011011;1;20
0000191011;1;20
0000281011;1;20
0000401011;1;20
0006491018;1;20
0006581018;1;20
0006701018;1;20
0000011039;1;20
0000071039;1;20
0000311046;1;20
0000791060;1;20
0000071067;1;20
0000161067;1;20
0000311074;1;20
0000341074;1;20
0000641074;1;20
0000761074;1;20
0000911074;1;20
0000251081;1;20
0002021081;1;20
0002591081;1;20
0000101144;1;20
0000941151;1;20
0000131172;1;20
0000161207;1;20
0000191214;1;20
0000101221;1;20
0000251221;1;20
0000011235;1;20
0000131235;1;20
0000281235;1;20
0000011242;1;20
0000041242;1;20
0000011249;1;20
0000101298;1;20
0000011340;1;20
0000191340;1;20
0000100199;1;20
0000400206;1;20
0001600206;1;20
0001690206;1;20
0000790227;1;20
0003610241;1;20
0004300241;1;20
0000820248;1;20
0000970248;1;20
0000070255;1;20
0000190255;1;20
0000220255;1;20
0008980262;1;20
0000040269;1;20
0000220283;1;20
0000310283;1;20
0000010304;1;20
0000280304;1;20
0000070318;1;20
0000100318;1;20
0000130318;1;20
