IdCFC;Placa;AnoFabricação;Categoria;PessoasComDeficiência;CodMarca;Marca
0000520864;GDB2B75;2022;;Não;2898;HONDA/CG 160 START
0000190143;EHX1470;2019;;Não;2898;HONDA/CG 160 START
0000101914;CPG6825;2005;;Não;617517;SR/GUERRA AG CS
0003371018;DIH1A38;2021;;Não;26509;YAMAHA/YS150 FAZER SED
0000520087;FMT9C52;2022;;Não;9636;YAMAHA/YBR150 FACTOR ED
0000311774;DRU8999;2019;;Não;2898;HONDA/CG 160 START
0000311774;FIA0782;2017;;Não;2898;HONDA/CG 160 START
0000311151;BQU8J94;2022;;Não;41715;JTZ/DK150S FI
0000160353;ELY0I29;2020;;Não;41707;JTZ/DK150
0001721662;DKK7G35;2022;;Não;2898;HONDA/CG 160 START
0000311711;GCT3I24;2022;;Não;9639;YAMAHA/YBR125I FACTOR ED
0025990122;BUK8J02;2022;;Não;2898;HONDA/CG 160 START
0003071690;CFZ5G85;2022;;Não;9636;YAMAHA/YBR150 FACTOR ED
0000971655;FJB6C25;2022;;Não;2898;HONDA/CG 160 START
0000252145;EEA7J74;2022;;Não;9636;YAMAHA/YBR150 FACTOR ED
0000461291;GAB2D54;2017;;Não;151254;VW/UP TAKE MCV
0000461291;GDK8H99;2020;;Não;41900;HONDA/CG 160 FAN
0000281886;CFC5I31;2022;;Não;2898;HONDA/CG 160 START
0000281886;CFC5J32;2022;;Não;2898;HONDA/CG 160 START
0000971690;DZA9A39;2020;;Não;41900;HONDA/CG 160 FAN
0040870122;EYW6A88;2009;;Não;345419;AGRALE/8500 TR
0001840136;DRI8D98;2021;A - Moto;Não;2898;HONDA/CG 160 START
0001840136;FWU8409;2015;A - Moto;Não;20606;JTA/SUZUKI GSR125
0001840136;GIY9157;2018;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0001692033;GEG8089;2018;A - Moto;Não;2898;HONDA/CG 160 START
0004390045;DUF4F46;2021;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0004390045;EBS0D31;2021;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0001511753;DWX7D00;2019;A - Moto;Não;2898;HONDA/CG 160 START
0001511753;GCO4H18;2017;A - Moto;Não;41901;HONDA/CG 160 TITAN
0001511753;GFD4B68;2018;A - Moto;Não;2898;HONDA/CG 160 START
0000280052;DGY9H87;2019;A - Moto;Não;2898;HONDA/CG 160 START
0000280052;GJY7E29;2018;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0000100703;FKG9C29;2020;A - Moto;Não;26509;YAMAHA/YS150 FAZER SED
0000100703;FWO2I89;2016;A - Moto;Não;14920;HONDA/NXR160 BROS ESDD
0042130122;GDA3G09;2018;A - Moto;Não;41901;HONDA/CG 160 TITAN
0042130122;GHY9F78;2020;A - Moto;Não;2898;HONDA/CG 160 START
0000102320;FSM4E22;2021;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0000102320;GCG9G33;2021;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0000311368;EBN4G59;2019;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0000311368;GFV6H77;2017;A - Moto;Não;9634;YAMAHA/YBR150 FACTOR E
0042160122;GGY8G44;2020;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0042160122;GKD6C28;2020;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0000461893;GHH5D97;2021;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0000461893;GHJ4A23;2021;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0000341368;BSZ0A74;2021;A - Moto;Não;9636;YAMAHA/YBR150 FACTOR ED
0000341368;EVA8H64;2021;A - Moto;Não;9636;YAMAHA/YBR150 FACTOR ED
0000341368;GGD3C27;2021;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
0006071116;EZO5B75;2021;A - Moto;Não;2898;HONDA/CG 160 START
0006071116;FOB2B67;2021;A - Moto;Não;9636;YAMAHA/YBR150 FACTOR ED
0000190619;FPC0A49;2018;A - Moto;Não;2898;HONDA/CG 160 START
0000190619;FVA5F67;2017;A - Moto;Não;2895;HONDA/CG 125I FAN
0000522166;BXD3B62;2021;A - Moto;Não;2898;HONDA/CG 160 START
0000522166;FII9D06;2021;A - Moto;Não;2898;HONDA/CG 160 START
0003820157;DYA1A42;2021;A - Moto;Não;9639;YAMAHA/YBR125I FACTOR ED
